app_name,price,avg_rating,rating_count,size_mb,primary_genre,content_rating,language_count,has_iap,has_support_url,min_ios,is_game_center,age_days,update_recency_days
Meditation & Sleep – Practico,0.0,4.23529,34,74.008576,Health & Fitness,4+,4,0,0,12.2,0,2270,959
Mindfulness.com Meditation App,0.0,4.81966,2462,115.749888,Health & Fitness,4+,1,0,0,13.0,0,2036,72
Fluid - Relax Meditate Sleep,0.0,4.63596,890,145.729536,Health & Fitness,4+,1,0,0,11.1,0,2650,2150
7Mind Meditation & Sleep,0.0,4.42105,19,81.701888,Health & Fitness,4+,5,0,0,15.0,0,2536,6
Guru: Stories & Meditation,0.0,4.43091,17962,89.645056,Health & Fitness,12+,1,0,0,14.0,0,1745,526
CanMindful - Meditation Space,0.0,4.25926,27,180.5568,Health & Fitness,12+,4,0,0,15.6,0,1045,7
Mindvalley: Self Improvement,0.0,4.76175,6384,884.624384,Education,12+,7,0,0,16.0,0,3478,8
Lumosity Mind - Meditation App,0.0,4.79277,3846,86.697984,Health & Fitness,4+,1,0,0,11.0,0,2288,1476
Meditation Moves,0.0,4.39079,87,80.507904,Health & Fitness,4+,1,0,0,9.0,0,2960,2134
Declutter The Mind Meditation,0.0,4.84068,885,56.461312,Health & Fitness,4+,1,0,0,14.0.0,0,2316,385
Mindfulness Bell,0.0,4.60215,11095,39.591936,Health & Fitness,4+,1,0,0,15.0,0,5609,1492
"Ultimate Hypnosis, Meditation",0.0,4.81818,671,161.765376,Lifestyle,4+,1,0,0,14.0,0,3911,4
Relax Meditation P: Mindfulness Sounds White Noise,2.99,4.78925,949,211.290112,Health & Fitness,4+,9,0,0,9.0,0,5711,3129
Sleep & Meditation with Zendo,0.0,4.43396,106,116.443136,Health & Fitness,4+,17,0,0,10.0,0,2352,1569
Mindful Meditation Pro,0.0,4.65868,1336,149.106688,Health & Fitness,4+,1,0,0,9.0,0,5139,1960
Relax-Age Magic & Meditation,0.0,4.48521,18866,123.573248,Health & Fitness,4+,11,0,0,13,0,2519,161
Gaia: Streaming Consciousness,0.0,4.83202,134311,162.459648,Entertainment,12+,4,0,0,16.0,0,4284,21
Mindbliss - Meditation & Sleep,0.0,4.68339,1415,81.179648,Health & Fitness,4+,1,0,0,13.2,0,3429,902
Meditative Mind: Sleep Sounds,0.0,4.86182,702,161.779712,Health & Fitness,4+,1,0,0,13.0,0,1973,365
"Idanim・Mindfulness, Meditation",0.0,4.86928,153,53.853184,Health & Fitness,4+,1,0,0,15.1,0,1202,0
Relax And Sleep Well Hypnosis,0.0,4.82068,2727,117.622784,Health & Fitness,4+,1,0,0,13.0,0,5432,497
Pura Mente: Sleep & Meditation,0.0,4.91005,9362,92.164096,Health & Fitness,4+,2,0,0,15.1,0,2508,15
"Relax Infinity: Meditate,Sleep",0.0,4.69811,53,63.33952,Health & Fitness,4+,1,0,0,12.0,0,1961,412
Relax & Rest Guided Meditation,1.99,4.79762,924,91.685888,Health & Fitness,4+,1,0,0,10.0,0,5762,1741
Meditation Moments - Guided,0.0,4.80402,597,582.07232,Health & Fitness,4+,2,0,0,15.6,0,2578,15
Gabby - Coaching & Meditation,0.0,4.91457,3254,120.608768,Health & Fitness,17+,1,0,0,15.6,0,835,7
Center Meditation Timer,0.0,4.68555,706,14.091264,Health & Fitness,4+,1,0,0,17.0,0,2862,36
3 Minute Mindfulness,0.0,4.65567,2091,112.403456,Health & Fitness,4+,2,0,0,12.0,0,3872,1272
Meditation & Relax Sleep Timer,0.0,4.63372,172,28.17536,Health & Fitness,4+,1,0,0,8.0,0,3366,2949
Soultime Christian Meditation,0.0,4.7249,5289,147.293184,Health & Fitness,4+,1,0,0,14.0,0,2699,90
Timefully • Meditation Timer,0.0,4.81243,1045,105.6,Health & Fitness,4+,1,0,0,14.0,0,2532,962
